#REF, https://ui.adsabs.harvard.edu/abs/2016ApJ...825....5S/abstract
#AUTHOR, Song+
#YEAR, 2016
#REDSHIFT, 5
#COLUMN1, log M_* [M_sun]
#COLUMN2, log Phi [dex^-1 Mpc^-3]
#COLUMN3, -sigma
#COLUMN4, +sigma
#NOTE, UV luminosity function observed with HST by Finkelstein+ (2015) convolved with M_*-M_UV relation obtained from HST imaging by Finkelstein+ (2015) and Spitzer/IRAC data over CANDELS/GOODS/HUDF fields, Salpeter IMF, (h, Omega_m, Omega_l) = (0.7, 0.3, 0.7)
#IMF, Salpeter
7.25, -1.47, 0.21, 0.24	
7.75, -1.72, 0.20, 0.20	
8.25, -2.01, 0.16, 0.16	
8.75, -2.33, 0.10, 0.15	
9.25, -2.68, 0.14, 0.07	
9.75, -3.12, 0.11, 0.09	
10.25,-3.47, 0.14, 0.16
10.75,-4.12, 0.38, 0.25
11.25,-4.88, 0.61, 0.40
